0  1  2  3  4
0 0.0 0.0 0.0 0 0.0
1 0.5 0.5 0 0.5 0.5
2 1.0 0.0 0.5 1.0 1.0
3 0.5 0.5 1.0 1.5 1.5
4 1.0 1.0 1.5 2.0 1.0
5 1.5 1.5 2.0 1.5 1.5
6 2.0 2.0 1.5 2.0 2.0
7 2.5 1.5 2.0 2.5 2.5
8 3.0 2.0 2.5 3.0 2.0
9 2.5 2.5 3.0 3.5 2.5
10 3.0 3.0 3.5 3.0 3.0
11 3.5 3.5 3.0 3.5 3.5
12 3.0 4.0 3.5 4.0 4.0
13 3.5 3.5 4.0 4.5 4.5
14 4.0 4.0 4.5 5.0 4.0
15 4.5 4.5 5.0 4.5 4.5
16 5.0 5.0 4.5 5.0 5.0
17 5.5 4.5 5.0 5.5 5.5
18 5.0 5.0 5.5 6.0 6.0
19 5.5 5.5 6.0 6.5 5.5
20 6.0 6.0 6.5 6.0 6.0
21 6.5 6.5 6.0 6.5 6.5
22 6.0 7.0 6.5 7.0 7.0
23 6.5 6.5 7.0 7.5 7.5
24 7.0 7.0 7.5 7.0 8.0
25 7.5 7.5 8.0 7.5 7.5
26 8.0 8.0 7.5 8.0 8.0
27 8.5 8.5 8.0 8.5 7.5
28 9.0 9.0 8.5 8.0 8.0
29 9.5 8.5 9.0 8.5 8.5
30 9.0 9.0 9.5 9.0 9.0
31 9.5 9.5 9.0 9.5 9.5
32 10.0 9.0 9.5 10.0 10.0
33 9.5 9.5 10.0 10.5 10.5
34 10.0 10.0 10.5 10.0 11.0
35 10.5 10.5 11.0 10.5 10.5
36 11.0 11.0 10.5 11.0 11.0
37 10.5 11.5 11.0 11.5 11.5
38 11.0 11.0 11.5 12.0 12.0
39 11.5 11.5 12.0 12.5 11.5
40 12.0 12.0 12.5 12.0 12.0
41 12.5 12.5 12.0 12.5 12.5
42 12.0 13.0 12.5 13.0 13.0
43 12.5 13.5 13.0 13.5 12.5
44 13.0 14.0 13.5 13.0 13.0
45 13.5 13.5 14.0 13.5 13.5
46 14.0 14.0 13.5 14.0 14.0
